품목코드,식품유형,성상,포장방법,기존유통기한,보존유통온도,보관방법,기준온도,품질안전한계기간_일,안전계수,소비기한참고값_일,단위,온도별_상세_json,source_pdf,source_page,추출일시
11-1-1-1,일반환자용 균형영양조제식품,액상,밀봉포장,7개월,실온(35℃),실온,35℃,424,11.0,424,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,9,2026-07-03 21:54:05
11-1-1-2,일반환자용 균형영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,11.0,730,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 1.0, ""소비기한참고값"": 730, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 1.0, ""소비기한참고값"": 730, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,26,2026-07-03 21:54:05
11-1-2-1,당뇨환자용 영양조제식품,액상,밀봉포장,7개월,실온(35℃),실온,35℃,424,11.0,424,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 424, ""안전계수"": 1.0, ""소비기한참고값"": 424, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,44,2026-07-03 21:54:05
11-1-2-2,당뇨환자용 영양조제식품,액상,밀봉포장,365일,실온(35℃),실온,35℃,547,11.0,547,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,61,2026-07-03 21:54:05
11-1-2-3,당뇨환자용 영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,547,11.0,547,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 1.0, ""소비기한참고값"": 547, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,78,2026-07-03 21:54:05
11-1-5-1,암환자용 영양조제식품,액상,밀봉포장,12개월,실온(35℃),실온,35℃,455,11.0,455,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 455, ""안전계수"": 1.0, ""소비기한참고값"": 455, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 455, ""안전계수"": 1.0, ""소비기한참고값"": 455, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,96,2026-07-03 21:54:05
11-2-1-1,선천성대사질환자용조제식품,고상,밀봉포장,5개월,실온(35℃),실온,35℃,300,0.83,249,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 300, ""안전계수"": 0.83, ""소비기한참고값"": 249, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 300, ""안전계수"": 0.83, ""소비기한참고값"": 249, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,126,2026-07-03 21:54:05
11-2-3-1,기타환자용 영양조제식품,액상,밀봉포장,5개월,실온(35℃),실온,35℃,302,11.0,302,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 302, ""안전계수"": 1.0, ""소비기한참고값"": 302, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 302, ""안전계수"": 1.0, ""소비기한참고값"": 302, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,145,2026-07-03 21:54:05
11-3-1-1,당뇨환자용 식단형 식품,고상,진공포장,12개월,냉동(-18℃ 이하),냉동,-18℃,730,11.0,708,일,"[{""온도"": ""-18℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}, {""온도"": ""-10℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,154,2026-07-03 21:54:05
11-3-2-1,신장질환자용 식단형 식품,고상,진공포장,12개월,냉동(-18℃ 이하),냉동,-18℃,730,11.0,708,일,"[{""온도"": ""-18℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}, {""온도"": ""-10℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,163,2026-07-03 21:54:05
11-3-3-1,암환자용 식단형 식품,고상,진공포장,12개월,냉동(-18℃ 이하),냉동,-18℃,730,11.0,708,일,"[{""온도"": ""-18℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}, {""온도"": ""-10℃"", ""보관방법"": ""냉동"", ""품질안전한계기간"": 730, ""안전계수"": 0.97, ""소비기한참고값"": 708, ""단위"": ""일""}]",11. 특수의료용도식품.pdf,172,2026-07-03 21:54:05
13-1-1-1,발효식초,액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,0.99,722,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.99, ""소비기한참고값"": 722, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.99, ""소비기한참고값"": 722, ""단위"": ""일""}]",13. 조미식품-1.pdf,7,2026-07-03 21:54:11
13-2-1-1,복합조미식품,분말,밀봉포장,365일,실온(35℃),실온,35℃,456,0.91,414,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.91, ""소비기한참고값"": 664, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 456, ""안전계수"": 0.91, ""소비기한참고값"": 414, ""단위"": ""일""}]",13. 조미식품-1.pdf,42,2026-07-03 21:54:11
13-2-1-2,복합조미식품,고상,밀봉포장,1년,상온(25℃),상온,25℃,728,0.85,618,일,"[{""온도"": ""15℃"", ""보관방법"": ""상온"", ""품질안전한계기간"": 728, ""안전계수"": 0.85, ""소비기한참고값"": 618, ""단위"": ""일""}, {""온도"": ""25℃"", ""보관방법"": ""상온"", ""품질안전한계기간"": 728, ""안전계수"": 0.85, ""소비기한참고값"": 618, ""단위"": ""일""}]",13. 조미식품-1.pdf,62,2026-07-03 21:54:11
13-2-1-3,복합조미식품,분말,밀봉포장,1년,상온(25℃),상온,25℃,728,0.85,618,일,"[{""온도"": ""15℃"", ""보관방법"": ""상온"", ""품질안전한계기간"": 728, ""안전계수"": 0.85, ""소비기한참고값"": 618, ""단위"": ""일""}, {""온도"": ""25℃"", ""보관방법"": ""상온"", ""품질안전한계기간"": 728, ""안전계수"": 0.85, ""소비기한참고값"": 618, ""단위"": ""일""}]",13. 조미식품-1.pdf,83,2026-07-03 21:54:11
13-2-1-6,복합조미식품,고상,밀봉포장,365일,실온(35℃),실온,35℃,730,0.91,664,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.91, ""소비기한참고값"": 664, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.91, ""소비기한참고값"": 664, ""단위"": ""일""}]",13. 조미식품-1.pdf,123,2026-07-03 21:54:11
13-2-1-7,복합조미식품,고상,밀봉포장,365일,실온(35℃),실온,35℃,456,0.91,414,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.91, ""소비기한참고값"": 664, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 456, ""안전계수"": 0.91, ""소비기한참고값"": 414, ""단위"": ""일""}]",13. 조미식품-1.pdf,131,2026-07-03 21:54:11
13-2-1-8,복합조미식품,고상,밀봉포장,365일,실온(35℃),실온,35℃,456,13.0,414,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.91, ""소비기한참고값"": 664, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 456, ""안전계수"": 0.91, ""소비기한참고값"": 414, ""단위"": ""일""}]",13. 조미식품-1.pdf,138,2026-07-03 21:54:11
13-2-2-1,마요네즈,고상,밀봉포장,240일,실온(35℃),실온,35℃,420,0.95,399,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 420, ""안전계수"": 0.95, ""소비기한참고값"": 399, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 420, ""안전계수"": 0.95, ""소비기한참고값"": 399, ""단위"": ""일""}]",13. 조미식품-1.pdf,149,2026-07-03 21:54:11
13-2-2-2,마요네즈,고상,밀봉포장,4개월,실온(35℃),실온,35℃,244,0.95,231,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 244, ""안전계수"": 0.95, ""소비기한참고값"": 231, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 244, ""안전계수"": 0.95, ""소비기한참고값"": 231, ""단위"": ""일""}]",13. 조미식품-1.pdf,173,2026-07-03 21:54:11
13-2-2-3,마요네즈,고상,밀봉포장,4개월,냉장(10℃ 이하),냉장,10℃,244,0.89,217,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 244, ""안전계수"": 0.89, ""소비기한참고값"": 217, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 244, ""안전계수"": 0.89, ""소비기한참고값"": 217, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 244, ""안전계수"": 0.89, ""소비기한참고값"": 217, ""단위"": ""일""}]",13. 조미식품-1.pdf,185,2026-07-03 21:54:11
13-2-2-4,마요네즈,고상,밀봉포장,8개월,실온(35℃),실온,35℃,363,0.95,344,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 363, ""안전계수"": 0.95, ""소비기한참고값"": 344, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 363, ""안전계수"": 0.95, ""소비기한참고값"": 344, ""단위"": ""일""}]",13. 조미식품-1.pdf,195,2026-07-03 21:54:11
13-2-2-5,마요네즈,고상,밀봉포장,8개월,실온(35℃),실온,35℃,363,0.95,344,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 363, ""안전계수"": 0.95, ""소비기한참고값"": 344, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 363, ""안전계수"": 0.95, ""소비기한참고값"": 344, ""단위"": ""일""}]",13. 조미식품-1.pdf,206,2026-07-03 21:54:11
13-2-3-1,토마토케첩,고상,밀봉포장,6개월,실온(35℃),실온,35℃,364,0.95,345,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 364, ""안전계수"": 0.95, ""소비기한참고값"": 345, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 364, ""안전계수"": 0.95, ""소비기한참고값"": 345, ""단위"": ""일""}]",13. 조미식품-1.pdf,217,2026-07-03 21:54:11
13-2-3-2,토마토케첩,고상,밀봉포장,8개월,실온(35℃),실온,35℃,364,0.95,345,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 486, ""안전계수"": 0.95, ""소비기한참고값"": 461, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 364, ""안전계수"": 0.95, ""소비기한참고값"": 345, ""단위"": ""일""}]",13. 조미식품-1.pdf,241,2026-07-03 21:54:11
13-2-3-3,토마토케첩,고상,밀봉포장,365일,실온(35℃),실온,35℃,547,0.95,519,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.95, ""소비기한참고값"": 519, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.95, ""소비기한참고값"": 519, ""단위"": ""일""}]",13. 조미식품-1.pdf,265,2026-07-03 21:54:11
13-2-4-1,소스,고상,밀봉포장,20일,냉장(10℃ 이하),냉장,10℃,40,0.89,35,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 40, ""안전계수"": 0.89, ""소비기한참고값"": 35, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 40, ""안전계수"": 0.89, ""소비기한참고값"": 35, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 15, ""안전계수"": 0.89, ""소비기한참고값"": 13, ""단위"": ""일""}]",13. 조미식품-1.pdf,289,2026-07-03 21:54:11
13-2-4-10,소스,고상,밀봉포장,3개월,냉장(10℃ 이하),냉장,10℃,182,0.81,147,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 182, ""안전계수"": 0.81, ""소비기한참고값"": 147, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 182, ""안전계수"": 0.81, ""소비기한참고값"": 147, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 182, ""안전계수"": 0.81, ""소비기한참고값"": 147, ""단위"": ""일""}]",13. 조미식품-1.pdf,391,2026-07-03 21:54:11
13-2-4-11,소스,점조액상,밀봉포장,180일,냉장(10℃ 이하),냉장,10℃,360,0.89,320,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 360, ""안전계수"": 0.89, ""소비기한참고값"": 320, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 360, ""안전계수"": 0.89, ""소비기한참고값"": 320, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 360, ""안전계수"": 0.89, ""소비기한참고값"": 320, ""단위"": ""일""}]",13. 조미식품-1.pdf,401,2026-07-03 21:54:11
13-2-4-16,소스,점조액상,밀봉포장,4개월,실온(35℃),실온,35℃,242,0.99,239,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 242, ""안전계수"": 0.99, ""소비기한참고값"": 239, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 242, ""안전계수"": 0.99, ""소비기한참고값"": 239, ""단위"": ""일""}]",13. 조미식품-1.pdf,457,2026-07-03 21:54:11
13-2-4-19,소스,고상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.93,340,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}]",13. 조미식품-1.pdf,491,2026-07-03 21:54:11
13-2-4-2,소스,고상,밀봉포장,20일,냉장(10℃ 이하),냉장,10℃,40,0.89,35,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 40, ""안전계수"": 0.89, ""소비기한참고값"": 35, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 40, ""안전계수"": 0.89, ""소비기한참고값"": 35, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 15, ""안전계수"": 0.89, ""소비기한참고값"": 13, ""단위"": ""일""}]",13. 조미식품-1.pdf,299,2026-07-03 21:54:11
13-2-4-20,소스,점조액상,밀봉포장,6개월,실온(35℃),실온,35℃,366,0.87,318,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 366, ""안전계수"": 0.87, ""소비기한참고값"": 318, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 366, ""안전계수"": 0.87, ""소비기한참고값"": 318, ""단위"": ""일""}]",13. 조미식품-1.pdf,500,2026-07-03 21:54:11
13-2-4-21,소스,고상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.89,325,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.89, ""소비기한참고값"": 325, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.89, ""소비기한참고값"": 325, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": null, ""안전계수"": null, ""소비기한참고값"": null, ""단위"": ""일""}]",13. 조미식품-1.pdf,510,2026-07-03 21:54:11
13-2-4-22,소스,고상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.93,340,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}]",13. 조미식품-1.pdf,520,2026-07-03 21:54:11
13-2-4-23,소스,고상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.89,325,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.89, ""소비기한참고값"": 325, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.89, ""소비기한참고값"": 325, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": null, ""안전계수"": null, ""소비기한참고값"": null, ""단위"": ""일""}]",13. 조미식품-1.pdf,530,2026-07-03 21:54:11
13-2-4-24,소스,점조액상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.85,311,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.85, ""소비기한참고값"": 311, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.85, ""소비기한참고값"": 311, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 366, ""안전계수"": 0.85, ""소비기한참고값"": 311, ""단위"": ""일""}]",13. 조미식품-1.pdf,540,2026-07-03 21:54:11
13-2-4-25,소스,점조액상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,364,0.81,294,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 364, ""안전계수"": 0.81, ""소비기한참고값"": 294, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 364, ""안전계수"": 0.81, ""소비기한참고값"": 294, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 364, ""안전계수"": 0.81, ""소비기한참고값"": 294, ""단위"": ""일""}]",13. 조미식품-1.pdf,550,2026-07-03 21:54:11
13-2-4-26,소스,고상,밀봉포장,1년,냉장(10℃ 이하),냉장,10℃,730,0.89,649,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 730, ""안전계수"": 0.89, ""소비기한참고값"": 649, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 730, ""안전계수"": 0.89, ""소비기한참고값"": 649, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 730, ""안전계수"": 0.89, ""소비기한참고값"": 649, ""단위"": ""일""}]",13. 조미식품-1.pdf,560,2026-07-03 21:54:11
13-2-4-27,소스,고상,밀봉포장,1년,냉장(10℃ 이하),냉장,10℃,730,0.89,649,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 730, ""안전계수"": 0.89, ""소비기한참고값"": 649, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 730, ""안전계수"": 0.89, ""소비기한참고값"": 649, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 456, ""안전계수"": 0.89, ""소비기한참고값"": 405, ""단위"": ""일""}]",13. 조미식품-1.pdf,570,2026-07-03 21:54:11
13-2-4-28,소스,점조액상,밀봉포장,12개월,실온(35℃),실온,35℃,547,13.0,497,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.91, ""소비기한참고값"": 497, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.91, ""소비기한참고값"": 497, ""단위"": ""일""}]",13. 조미식품-1.pdf,578,2026-07-03 21:54:11
13-2-4-29,소스,점조액상,밀봉포장,365일,실온(35℃),실온,35℃,547,0.87,475,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.87, ""소비기한참고값"": 635, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.87, ""소비기한참고값"": 475, ""단위"": ""일""}]",13. 조미식품-1.pdf,587,2026-07-03 21:54:11
13-2-4-3,소스,고상,밀봉포장,182일,냉장(10℃ 이하),냉장,10℃,364,0.89,323,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 364, ""안전계수"": 0.89, ""소비기한참고값"": 323, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 364, ""안전계수"": 0.89, ""소비기한참고값"": 323, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 364, ""안전계수"": 0.89, ""소비기한참고값"": 323, ""단위"": ""일""}]",13. 조미식품-1.pdf,309,2026-07-03 21:54:11
13-2-4-30,소스,고상,밀봉포장,1개월,냉장(10℃ 이하),냉장,10℃,60,0.89,53,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 60, ""안전계수"": 0.89, ""소비기한참고값"": 53, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 60, ""안전계수"": 0.89, ""소비기한참고값"": 53, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 60, ""안전계수"": 0.89, ""소비기한참고값"": 53, ""단위"": ""일""}]",13. 조미식품-1.pdf,597,2026-07-03 21:54:11
13-2-4-31,소스,액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,0.83,605,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.83, ""소비기한참고값"": 605, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.83, ""소비기한참고값"": 605, ""단위"": ""일""}]",13. 조미식품-1.pdf,606,2026-07-03 21:54:11
13-2-4-32,소스,액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,0.95,693,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}]",13. 조미식품-1.pdf,615,2026-07-03 21:54:11
13-2-4-33,소스,점조액상,밀봉포장,12개월,실온(35℃),실온,35℃,730,0.95,693,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}]",13. 조미식품-1.pdf,624,2026-07-03 21:54:11
13-2-4-34,소스,고상,밀봉포장,365일,실온(35℃),실온,35℃,730,0.95,693,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.95, ""소비기한참고값"": 693, ""단위"": ""일""}]",13. 조미식품-1.pdf,633,2026-07-03 21:54:11
13-2-4-35,소스,액상,밀봉포장,12개월,실온(35℃),실온,35℃,547,0.99,541,일,"[{""온도"": ""25℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 730, ""안전계수"": 0.99, ""소비기한참고값"": 722, ""단위"": ""일""}, {""온도"": ""35℃"", ""보관방법"": ""실온"", ""품질안전한계기간"": 547, ""안전계수"": 0.99, ""소비기한참고값"": 541, ""단위"": ""일""}]",13. 조미식품-1.pdf,642,2026-07-03 21:54:11
13-2-4-4,소스,점조액상,밀봉포장,6개월,냉장(10℃ 이하),냉장,10℃,366,0.93,340,일,"[{""온도"": ""10℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""5℃"", ""보관방법"": ""냉장"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}, {""온도"": ""15℃"", ""보관방법"": ""이탈온도"", ""품질안전한계기간"": 366, ""안전계수"": 0.93, ""소비기한참고값"": 340, ""단위"": ""일""}]",13. 조미식품-1.pdf,319,2026-07-03 21:54:11
